Athlete Name,Country,Gold_medals,Silver_medals,Bronze_medals,Total_medals,Year,Season
Sarabjot Singh,India,0,0,1,1,2024,summer
David Betlehem,Hungary,0,0,1,1,2024,summer
Eszter Muhari,Hungary,0,0,1,1,2024,summer
Veronika Major,Hungary,0,0,1,1,2024,summer
Balint Kopasz,Hungary,0,0,1,1,2024,summer
Dauren Kurugliev,Greece,0,0,1,1,2024,summer
Dimitra Eleni Kontou,Greece,0,0,1,1,2024,summer
Petros Gkaidatzis,Greece,0,0,1,1,2024,summer
Antonios Papakonstantinou,Greece,0,0,1,1,2024,summer
Theodoros Tselidis,Greece,0,0,1,1,2024,summer
Emmanouil Karalis,Greece,0,0,1,1,2024,summer
Eleftherios Petrounias,Greece,0,0,1,1,2024,summer
Zoi Fitsiou,Greece,0,0,1,1,2024,summer
Hannah Kelly,Great Britain,0,0,1,1,2024,summer
Lewis Davey,Great Britain,0,0,1,1,2024,summer
Rebecca Wilde,Great Britain,0,0,1,1,2024,summer
Oliver Wilkes,Great Britain,0,0,1,1,2024,summer
Eve Stewart,Great Britain,0,0,1,1,2024,summer
Jess Roberts,Great Britain,0,0,1,1,2024,summer
Lewis Richardson,Great Britain,0,0,1,1,2024,summer
Victoria Ohuruogu,Great Britain,0,0,1,1,2024,summer
Lina Nielsen,Great Britain,0,0,1,1,2024,summer
Anna Morris,Great Britain,0,0,1,1,2024,summer
Becky Moody,Great Britain,0,0,1,1,2024,summer
Heidi Long,Great Britain,0,0,1,1,2024,summer
Yemi Mary John,Great Britain,0,0,1,1,2024,summer
Jake Jarman,Great Britain,0,0,1,1,2024,summer
Lauren Irwin,Great Britain,0,0,1,1,2024,summer
Louie Hinchliffe,Great Britain,0,0,1,1,2024,summer
Harry Hepworth,Great Britain,0,0,1,1,2024,summer
Toby Harries,Great Britain,0,0,1,1,2024,summer
Yasmin Harper,Great Britain,0,0,1,1,2024,summer
Anthony Harding,Great Britain,0,0,1,1,2024,summer
Holly Dunford,Great Britain,0,0,1,1,2024,summer
Charles Dobson,Great Britain,0,0,1,1,2024,summer
Sam Dickinson,Great Britain,0,0,1,1,2024,summer
Freddie Davidson,Great Britain,0,0,1,1,2024,summer
Annie Campbell-Orde,Great Britain,0,0,1,1,2024,summer
Georgia Bell,Great Britain,0,0,1,1,2024,summer
Jeremiah Azu,Great Britain,0,0,1,1,2024,summer
David Ambler,Great Britain,0,0,1,1,2024,summer
Matt Aldridge,Great Britain,0,0,1,1,2024,summer
Zharnel Hughes,Great Britain,0,0,1,1,2024,summer
Emily Campbell,Great Britain,0,0,1,1,2024,summer
Emma Wilson,Great Britain,0,0,1,1,2024,summer
Scarlett Mew Jensen,Great Britain,0,0,1,1,2024,summer
Henry Fieldman,Great Britain,0,0,1,1,2024,summer
Harriet Taylor,Great Britain,0,0,1,1,2024,summer
Sky Brown,Great Britain,0,0,1,1,2024,summer
Mathilda Hodgkins-Byrne,Great Britain,0,0,1,1,2024,summer
Georgia Taylor-Brown,Great Britain,0,0,1,1,2024,summer
Rowan McKellar,Great Britain,0,0,1,1,2024,summer
Josie Knight,Great Britain,0,0,1,1,2024,summer
Andrea Spendolini Sirieix,Great Britain,0,0,1,1,2024,summer
Emily Ford,Great Britain,0,0,1,1,2024,summer
Richard Kilty,Great Britain,0,0,1,1,2024,summer
Nethaneel Mitchell-Blake,Great Britain,0,0,1,1,2024,summer
Jodie Williams,Great Britain,0,0,1,1,2024,summer
Lois Toulson,Great Britain,0,0,1,1,2024,summer
Jack Laugher,Great Britain,0,0,1,1,2024,summer
Carl Hester,Great Britain,0,0,1,1,2024,summer
Sophia Junk,Germany,0,0,1,1,2024,summer
Gina Lueckenkemper,Germany,0,0,1,1,2024,summer
Pauline Grabosch,Germany,0,0,1,1,2024,summer
Noah Hegge,Germany,0,0,1,1,2024,summer
Nelvie Raman Tiafack,Germany,0,0,1,1,2024,summer
Pia Greiten,Germany,0,0,1,1,2024,summer
Tabea Schendekehl,Germany,0,0,1,1,2024,summer
Maren Voelz,Germany,0,0,1,1,2024,summer
Alexandra Burghardt,Germany,0,0,1,1,2024,summer
Leonie Menzel,Germany,0,0,1,1,2024,summer
Isabel Gose,Germany,0,0,1,1,2024,summer
Emma Hinze,Germany,0,0,1,1,2024,summer
Lisa Mayer,Germany,0,0,1,1,2024,summer
Rebekka Haase,Germany,0,0,1,1,2024,summer
Lasha Guruli,Georgia,0,0,1,1,2024,summer
Alexis Lebrun,France,0,0,1,1,2024,summer
Cyrian Ravet,France,0,0,1,1,2024,summer
Clement Secchi,France,0,0,1,1,2024,summer
Rafael Fente-Damers,France,0,0,1,1,2024,summer
Djamili-Dini Aboudou Moindze,France,0,0,1,1,2024,summer
Christophe Laporte,France,0,0,1,1,2024,summer
Romain Mathieu,France,0,0,1,1,2024,summer
Julien Epaillard,France,0,0,1,1,2024,summer
Olivier Perreau,France,0,0,1,1,2024,summer
Yohann Ndoye-Brouard,France,0,0,1,1,2024,summer
Leo Bergere,France,0,0,1,1,2024,summer
Johanne Defay,France,0,0,1,1,2024,summer
Lisa Barbelin,France,0,0,1,1,2024,summer
Maxime Grousset,France,0,0,1,1,2024,summer
Anthony Jeanjean,France,0,0,1,1,2024,summer
Simon Gauzy,France,0,0,1,1,2024,summer
Simon Delestre,France,0,0,1,1,2024,summer
Charline Picon,France,0,0,1,1,2024,summer
Sarah Steyaert,France,0,0,1,1,2024,summer
Michael Moerkoev,Denmark,0,0,1,1,2024,summer
Emma Aastrand Jorgensen,Denmark,0,0,1,1,2024,summer
Edi Hrnic,Denmark,0,0,1,1,2024,summer
Turpal Ali Bisultanov,Denmark,0,0,1,1,2024,summer
Niklas Larsen,Denmark,0,0,1,1,2024,summer
Nikola Ogrodníková,Czechia,0,0,1,1,2024,summer
Lena Stojkovic,Croatia,0,0,1,1,2024,summer
Sandra Elkasevic,Croatia,0,0,1,1,2024,summer
Miran Maricic,Croatia,0,0,1,1,2024,summer
Xiyu Lin,China,0,0,1,1,2024,summer
Hong Kexin,China,0,0,1,1,2024,summer
Liang Yushuai,China,0,0,1,1,2024,summer
Feng Ziqi,China,0,0,1,1,2024,summer
Zhao Jie,China,0,0,1,1,2024,summer
Meng Lingzhe,China,0,0,1,1,2024,summer
Lyu Jianlin,China,0,0,1,1,2024,summer
Jiang Yiting,China,0,0,1,1,2024,summer
Wang Xinjie,China,0,0,1,1,2024,summer
Wan Letian,China,0,0,1,1,2024,summer
Kong Yaqi,China,0,0,1,1,2024,summer
Yan Langyu,China,0,0,1,1,2024,summer
Zhang Qiongyue,China,0,0,1,1,2024,summer
Ge Chutong,China,0,0,1,1,2024,summer
Pang Qianyu,China,0,0,1,1,2024,summer
Ma Zhenzhao,China,0,0,1,1,2024,summer
Cheng Yujie,China,0,0,1,1,2024,summer
Li Bingjie,China,0,0,1,1,2024,summer
Song Jiayuan,China,0,0,1,1,2024,summer
Tang Muhan,China,0,0,1,1,2024,summer
Wang Xueer,China,0,0,1,1,2024,summer
Liu Yaxin,China,0,0,1,1,2024,summer
Wang Shun,China,0,0,1,1,2024,summer
Sloan Mackenzie,Canada,0,0,1,1,2024,summer
Sophiane Methot,Canada,0,0,1,1,2024,summer
Skylar Park,Canada,0,0,1,1,2024,summer
Wyatt Sanford,Canada,0,0,1,1,2024,summer
Félix Auger-Aliassime,Canada,0,0,1,1,2024,summer
Nathan Zsombor-Murray,Canada,0,0,1,1,2024,summer
Rylan Wiens,Canada,0,0,1,1,2024,summer
Alysha Newman,Canada,0,0,1,1,2024,summer
Eleanor Harvey,Canada,0,0,1,1,2024,summer
Kylie Masse,Canada,0,0,1,1,2024,summer
Gabriela Dabrowski,Canada,0,0,1,1,2024,summer
Bozhidar Dimitrov Andreev,Bulgaria,0,0,1,1,2024,summer
Alizadeh Kimia,Bulgaria,0,0,1,1,2024,summer
Javier Ibanez Diaz,Bulgaria,0,0,1,1,2024,summer
Edvial Pontes,Brazil,0,0,1,1,2024,summer
Augusto Akio,Brazil,0,0,1,1,2024,summer
Beatriz Iasmin Soares Ferreira,Brazil,0,0,1,1,2024,summer
Julia Soares,Brazil,0,0,1,1,2024,summer
Alison Dos Santos,Brazil,0,0,1,1,2024,summer
Gabriel Medina,Brazil,0,0,1,1,2024,summer
Rayssa Leal,Brazil,0,0,1,1,2024,summer
Flavia Saraiva,Brazil,0,0,1,1,2024,summer
Lorrane Oliveira,Brazil,0,0,1,1,2024,summer
Jade Barbosa,Brazil,0,0,1,1,2024,summer
Sarah Chaari,Belgium,0,0,1,1,2024,summer
Fabio van den Bossche,Belgium,0,0,1,1,2024,summer
Gabriella Willems,Belgium,0,0,1,1,2024,summer
Wout van Aert,Belgium,0,0,1,1,2024,summer
Noor Vidts,Belgium,0,0,1,1,2024,summer
Lotte Kopecky,Belgium,0,0,1,1,2024,summer
Magomedkhan Magomedov,Azerbaijan,0,0,1,1,2024,summer
Giorgi Meshvildishvili,Azerbaijan,0,0,1,1,2024,summer
Hasrat Jafarov,Azerbaijan,0,0,1,1,2024,summer
Michaela Polleres,Austria,0,0,1,1,2024,summer
Jessica Pilz,Austria,0,0,1,1,2024,summer
Jakob Schubert,Austria,0,0,1,1,2024,summer
Leigh Hoffman,Australia,0,0,1,1,2024,summer
Joshua Yong,Australia,0,0,1,1,2024,summer
Charlie Senior,Australia,0,0,1,1,2024,summer
Maximillian Giuliani,Australia,0,0,1,1,2024,summer
Caitlin Parker,Australia,0,0,1,1,2024,summer
Matthew Temple,Australia,0,0,1,1,2024,summer
Penny Smith,Australia,0,0,1,1,2024,summer
Jessica Morrison,Australia,0,0,1,1,2024,summer
Thomas Green,Australia,0,0,1,1,2024,summer
Jean van der Westhuyzen,Australia,0,0,1,1,2024,summer
Thomas Neill,Australia,0,0,1,1,2024,summer
Zac Incerti,Australia,0,0,1,1,2024,summer
Annabelle McIntyre,Australia,0,0,1,1,2024,summer
Natalya Diehm,Australia,0,0,1,1,2024,summer
Eleanor Patterson,Australia,0,0,1,1,2024,summer
Rhydian Cowley,Australia,0,0,1,1,2024,summer
Matthew Denny,Australia,0,0,1,1,2024,summer
Malkhas Amoyan,Armenia,0,0,1,1,2024,summer
Johannes Bø,Norway,4,0,1,5,2022,winter
Alexander Bolshunov,Russian Olympic Committee,3,1,1,5,2022,winter
Marte Olsbu Roeiseland,Norway,3,0,2,5,2022,winter
Quentin Fillon Maillet,France,2,3,0,5,2022,winter
Irene Schouten,Netherlands,3,0,1,4,2022,winter
Johannes Høsflot Klæbo,Norway,2,1,1,4,2022,winter
Tarjei Bø,Norway,2,1,1,4,2022,winter
Suzanne Schulting,Netherlands,2,1,1,4,2022,winter
Miho Takagi,Japan,1,3,0,4,2022,winter
Therese Johaug,Norway,3,0,0,3,2022,winter
Jørgen Graabak,Norway,2,1,0,3,2022,winter
Eileen Gu,China,2,1,0,3,2022,winter
Johannes Strolz,Austria,2,1,0,3,2022,winter
Choi Minjeong,South Korea,1,2,0,3,2022,winter
Elvira Öberg,Sweden,1,2,0,3,2022,winter
Arianna Fontana,Italy,1,2,0,3,2022,winter
Natalia Nepryaeva,Russian Olympic Committee,1,1,1,3,2022,winter
Jonna Sundling,Sweden,1,1,1,3,2022,winter
Tiril Eckhoff,Norway,1,1,1,3,2022,winter
Iivo Niskanen,Finland,1,1,1,3,2022,winter
Steven Dubois,Canada,1,1,1,3,2022,winter
Isabelle Weidemann,Canada,1,1,1,3,2022,winter
Shaoang Liu,Hungary,1,0,2,3,2022,winter
Maja Dahlqvist,Sweden,0,2,1,3,2022,winter
Eduard Latypov,Russian Olympic Committee,0,0,3,3,2022,winter
Lindsey Jacobellis,United States,2,0,0,2,2022,winter
Nils Van Der Poel,Sweden,2,0,0,2,2022,winter
Ursa Bogataj,Slovenia,2,0,0,2,2022,winter
Johannes Ludwig,Germany,2,0,0,2,2022,winter
Francesco Friedrich,Germany,2,0,0,2,2022,winter
Tobias Arlt,Germany,2,0,0,2,2022,winter
Tobias Wendl,Germany,2,0,0,2,2022,winter
Thorsten Margis,Germany,2,0,0,2,2022,winter
Natalie Geisenberger,Germany,2,0,0,2,2022,winter
Ren Ziwei,China,2,0,0,2,2022,winter
Denis Spitsov,Russian Olympic Committee,1,1,0,2,2022,winter
Nikita Katsalapov,Russian Olympic Committee,1,1,0,2,2022,winter
Viktoria Sinitsina,Russian Olympic Committee,1,1,0,2,2022,winter
Hwang Dae Heon,South Korea,1,1,0,2,2022,winter
Nathan Chen,United States,1,1,0,2,2022,winter
Timi Zajc,Slovenia,1,1,0,2,2022,winter
Peter Prevc,Slovenia,1,1,0,2,2022,winter
Jens Lurås Oftebro,Norway,1,1,0,2,2022,winter
Zoi Sadowski-Synnott,New Zealand,1,1,0,2,2022,winter
Thomas Krol,Netherlands,1,1,0,2,2022,winter
Ryoyu Kobayashi,Japan,1,1,0,2,2022,winter
Vinzenz Geiger,Germany,1,1,0,2,2022,winter
Katharina Hennig,Germany,1,1,0,2,2022,winter
Victoria Carl,Germany,1,1,0,2,2022,winter
Su Yiming,China,1,1,0,2,2022,winter
Qi Guangpu,China,1,1,0,2,2022,winter
Xu Mengtao,China,1,1,0,2,2022,winter
Ivanie Blondin,Canada,1,1,0,2,2022,winter
Katharina Liensberger,Austria,1,1,0,2,2022,winter
Manuel Fettner,Austria,1,1,0,2,2022,winter
Aleksandr Galiamov,Russian Olympic Committee,1,0,1,2,2022,winter
Anastasia Mishina,Russian Olympic Committee,1,0,1,2,2022,winter
Yulia Stupak,Russian Olympic Committee,1,0,1,2,2022,winter
Mathilde Gremaud,Switzerland,1,0,1,2,2022,winter
Michelle Gisin,Switzerland,1,0,1,2,2022,winter
Lara Gut-Behrami,Switzerland,1,0,1,2,2022,winter
Nika Kriznar,Slovenia,1,0,1,2,2022,winter
Hallgeir Engebråten,Norway,1,0,1,2,2022,winter
Vetle Christiansen,Norway,1,0,1,2,2022,winter
Ireen Wüst,Netherlands,1,0,1,2,2022,winter
Denise Herrmann,Germany,1,0,1,2,2022,winter
Zhang Yuting,China,1,0,1,2,2022,winter
Qu Chunyu,China,1,0,1,2,2022,winter
Fan Kexin,China,1,0,1,2,2022,winter
Max Parrot,Canada,1,0,1,2,2022,winter
Matthias Mayer,Austria,1,0,1,2,2022,winter
Patrick Roest,Netherlands,0,2,0,2,2022,winter
Florian Bauer,Germany,0,2,0,2,2022,winter
Johannes Lochner,Germany,0,2,0,2,2022,winter
Emilien Jacquelin,France,0,2,0,2,2022,winter
Anais Chevalier,France,0,2,0,2,2022,winter
Wolfgang Kindl,Austria,0,2,0,2,2022,winter
Kristina Reztsova,Russian Olympic Committee,0,1,1,2,2022,winter
Uliana Nigmatullina,Russian Olympic Committee,0,1,1,2,2022,winter
Madison Hubbell,United States,0,1,1,2,2022,winter
Zachary Donohue,United States,0,1,1,2,2022,winter
Jessie Diggins,United States,0,1,1,2,2022,winter
Elana Meyers Taylor,United States,0,1,1,2,2022,winter
Wendy Holdener,Switzerland,0,1,1,2,2022,winter
Aleksander Aamodt Kilde,Norway,0,1,1,2,2022,winter
Yuma Kagiyama,Japan,0,1,1,2,2022,winter
Andrea Cassinelli,Italy,0,1,1,2,2022,winter
Pietro Sighel,Italy,0,1,1,2,2022,winter
Francesca Lollobrigida,Italy,0,1,1,2,2022,winter
Omar Visintin,Italy,0,1,1,2,2022,winter
Federica Brignone,Italy,0,1,1,2,2022,winter
Yuri Confortola,Italy,0,1,1,2,2022,winter
Kerttu Niskanen,Finland,0,1,1,2,2022,winter
Eliot Grondin,Canada,0,1,1,2,2022,winter
Thomas Steu,Austria,0,1,1,2,2022,winter
Lorenz Koller,Austria,0,1,1,2,2022,winter
Alexander Terentev,Russian Olympic Committee,0,0,2,2,2022,winter
Alexandr Loginov,Russian Olympic Committee,0,0,2,2,2022,winter
Antoinette De Jong,Netherlands,0,0,2,2,2022,winter
Kaori Sakamoto,Japan,0,0,2,2,2022,winter
Shoma Uno,Japan,0,0,2,2,2022,winter
Akito Watabe,Japan,0,0,2,2,2022,winter
Karl Geiger,Germany,0,0,2,2,2022,winter
Meryeta Odine,Canada,0,0,2,2,2022,winter
Anna Shcherbakova,Russian Olympic Committee,1,0,0,1,2022,winter
Veronika Stepanova,Russian Olympic Committee,1,0,0,1,2022,winter
Mark Kondratiuk,Russian Olympic Committee,1,0,0,1,2022,winter
Kamila Valieva,Russian Olympic Committee,1,0,0,1,2022,winter
Tatiana Sorina,Russian Olympic Committee,1,0,0,1,2022,winter
Alexey Chervotkin,Russian Olympic Committee,1,0,0,1,2022,winter
Sergey Ustiugov,Russian Olympic Committee,1,0,0,1,2022,winter
Christopher Lillis,United States,1,0,0,1,2022,winter
Justin Schoenefeld,United States,1,0,0,1,2022,winter
Alexander Hall,United States,1,0,0,1,2022,winter
Chloe Kim,United States,1,0,0,1,2022,winter
Erin Jackson,United States,1,0,0,1,2022,winter
Ashley Caldwell,United States,1,0,0,1,2022,winter
Nick Baumgartner,United States,1,0,0,1,2022,winter
Kaillie Humphries,United States,1,0,0,1,2022,winter
Marco Odermatt,Switzerland,1,0,0,1,2022,winter
Ryan Regez,Switzerland,1,0,0,1,2022,winter
Corinne Suter,Switzerland,1,0,0,1,2022,winter
Beat Feuz,Switzerland,1,0,0,1,2022,winter
Linn Persson,Sweden,1,0,0,1,2022,winter
Hanna Öberg,Sweden,1,0,0,1,2022,winter
Walter Wallberg,Sweden,1,0,0,1,2022,winter
Sandra Näslund,Sweden,1,0,0,1,2022,winter
Sara Hector,Sweden,1,0,0,1,2022,winter
Mona Brorsson,Sweden,1,0,0,1,2022,winter
Petra Vlhová,Slovakia,1,0,0,1,2022,winter
Erik Valnes,Norway,1,0,0,1,2022,winter
Marius Lindvik,Norway,1,0,0,1,2022,winter
Sturla Holm Lægreid,Norway,1,0,0,1,2022,winter
Peder Kongshaug,Norway,1,0,0,1,2022,winter
Espen Bjørnstad,Norway,1,0,0,1,2022,winter
Birk Ruud,Norway,1,0,0,1,2022,winter
Espen Andersen,Norway,1,0,0,1,2022,winter
Sverre Lunde Pedersen,Norway,1,0,0,1,2022,winter
Nico Porteous,New Zealand,1,0,0,1,2022,winter
Selma Poutsma,Netherlands,1,0,0,1,2022,winter
Xandra Velzeboer,Netherlands,1,0,0,1,2022,winter
Kjeld Nuis,Netherlands,1,0,0,1,2022,winter
Yara Van Kerkhof,Netherlands,1,0,0,1,2022,winter
Ayumu Hirano,Japan,1,0,0,1,2022,winter
Laura Nolte,Germany,1,0,0,1,2022,winter
Alexander Schüller,Germany,1,0,0,1,2022,winter
Hannah Neise,Germany,1,0,0,1,2022,winter
Deborah Levi,Germany,1,0,0,1,2022,winter
Candy Bauer,Germany,1,0,0,1,2022,winter
Christopher Grotheer,Germany,1,0,0,1,2022,winter
Clément Noël,France,1,0,0,1,2022,winter
Justine Braisaz-Bouchet,France,1,0,0,1,2022,winter
Guillaume Cizeron,France,1,0,0,1,2022,winter
Gabriella Papadakis,France,1,0,0,1,2022,winter
Ester Ledecká,Czechia,1,0,0,1,2022,winter
Gao Tingyu,China,1,0,0,1,2022,winter
Sui Wenjing,China,1,0,0,1,2022,winter
Han Cong,China,1,0,0,1,2022,winter
Wu Dajing,China,1,0,0,1,2022,winter
Maxime Laoun,Canada,1,0,0,1,2022,winter
Jordan Pierre-Gilles,Canada,1,0,0,1,2022,winter
Pascal Dion,Canada,1,0,0,1,2022,winter
Valérie Maltais,Canada,1,0,0,1,2022,winter
Charles Hamelin,Canada,1,0,0,1,2022,winter
Bart Swings,Belgium,1,0,0,1,2022,winter
Katharina Huber,Austria,1,0,0,1,2022,winter
Katharina Truppe,Austria,1,0,0,1,2022,winter
Jan Hörl,Austria,1,0,0,1,2022,winter
Stefan Kraft,Austria,1,0,0,1,2022,winter
Alessandro Hämmerle,Austria,1,0,0,1,2022,winter
Michael Matt,Austria,1,0,0,1,2022,winter
Daniel Huber,Austria,1,0,0,1,2022,winter
Stefan Brennsteiner,Austria,1,0,0,1,2022,winter
Anna Gasser,Austria,1,0,0,1,2022,winter
Benjamin Karl,Austria,1,0,0,1,2022,winter
Jakara Anthony,Australia,1,0,0,1,2022,winter
Svetlana Mironova,Russian Olympic Committee,0,1,0,1,2022,winter
Ivan Yakimushkin,Russian Olympic Committee,0,1,0,1,2022,winter
Daniil Aldoshkin,Russian Olympic Committee,0,1,0,1,2022,winter
Aleksandra Trusova,Russian Olympic Committee,0,1,0,1,2022,winter
Irma Makhinia,Russian Olympic Committee,0,1,0,1,2022,winter
Konstantin Ivliev,Russian Olympic Committee,0,1,0,1,2022,winter
Danil Sadreev,Russian Olympic Committee,0,1,0,1,2022,winter
Irina Kazakevich,Russian Olympic Committee,0,1,0,1,2022,winter
Sergey Trofimov,Russian Olympic Committee,0,1,0,1,2022,winter
Evgeniya Tarasova,Russian Olympic Committee,0,1,0,1,2022,winter
Vladimir Morozov,Russian Olympic Committee,0,1,0,1,2022,winter
Irina Avvakumova,Russian Olympic Committee,0,1,0,1,2022,winter
Evgeniy Klimov,Russian Olympic Committee,0,1,0,1,2022,winter
Ruslan Zacharov,Russian Olympic Committee,0,1,0,1,2022,winter
Lee June Seo,South Korea,0,1,0,1,2022,winter
Seo Whi Min,South Korea,0,1,0,1,2022,winter
Kim Dong Wook,South Korea,0,1,0,1,2022,winter
Park Jang Hyuk,South Korea,0,1,0,1,2022,winter
Chung Jae-Won,South Korea,0,1,0,1,2022,winter
Kwak Yoon-Gy,South Korea,0,1,0,1,2022,winter
Lee Yu Bin,South Korea,0,1,0,1,2022,winter
Cha Min-Kyu,South Korea,0,1,0,1,2022,winter
Kim A-Lang,South Korea,0,1,0,1,2022,winter
Colby Stevenson,United States,0,1,0,1,2022,winter
Brandon Frazier,United States,0,1,0,1,2022,winter
Ryan Cochran-Siegle,United States,0,1,0,1,2022,winter
Julia Marino,United States,0,1,0,1,2022,winter
Karen Chen,United States,0,1,0,1,2022,winter
Vincent Zhou,United States,0,1,0,1,2022,winter
Jaelin Kauf,United States,0,1,0,1,2022,winter
Alexa Knierim,United States,0,1,0,1,2022,winter
Nicholas Goepper,United States,0,1,0,1,2022,winter
David Wise,United States,0,1,0,1,2022,winter
Madison Chock,United States,0,1,0,1,2022,winter
Evan Bates,United States,0,1,0,1,2022,winter
Oleksandr Abramenko,Ukraine,0,1,0,1,2022,winter
Alex Fiva,Switzerland,0,1,0,1,2022,winter
Martin Ponsiluoma,Sweden,0,1,0,1,2022,winter
Queralt Castellet,Spain,0,1,0,1,2022,winter
Cene Prevc,Slovenia,0,1,0,1,2022,winter
Lovro Kos,Slovenia,0,1,0,1,2022,winter
Tim Mastnak,Slovenia,0,1,0,1,2022,winter
Zan Kranjec,Slovenia,0,1,0,1,2022,winter
Emil Iversen,Norway,0,1,0,1,2022,winter
Hans Christer Holund,Norway,0,1,0,1,2022,winter
Mons Røisland,Norway,0,1,0,1,2022,winter
Pål Golberg,Norway,0,1,0,1,2022,winter
Jutta Leerdam,Netherlands,0,1,0,1,2022,winter
Ayano Sato,Japan,0,1,0,1,2022,winter
Nana Takagi,Japan,0,1,0,1,2022,winter
Arianna Valcepina,Italy,0,1,0,1,2022,winter
Sofia Goggia,Italy,0,1,0,1,2022,winter
Federico Pellegrino,Italy,0,1,0,1,2022,winter
Michela Moioli,Italy,0,1,0,1,2022,winter
Martina Valcepina,Italy,0,1,0,1,2022,winter
Manuel Faißt,Germany,0,1,0,1,2022,winter
Julian Rauchfuss,Germany,0,1,0,1,2022,winter
Julian Schmid,Germany,0,1,0,1,2022,winter
Anna Berreiter,Germany,0,1,0,1,2022,winter
Emma Aicher,Germany,0,1,0,1,2022,winter
Katherine Sauerbrey,Germany,0,1,0,1,2022,winter
Sofie Krehl,Germany,0,1,0,1,2022,winter
Alexandra Burghardt,Germany,0,1,0,1,2022,winter
Christian Rasp,Germany,0,1,0,1,2022,winter
Mariama Jamanka,Germany,0,1,0,1,2022,winter
Alexander Schmid,Germany,0,1,0,1,2022,winter
Christopher Weber,Germany,0,1,0,1,2022,winter
Axel Jungk,Germany,0,1,0,1,2022,winter
Linus Straßer,Germany,0,1,0,1,2022,winter
Lena Dürr,Germany,0,1,0,1,2022,winter
Katharina Althaus,Germany,0,1,0,1,2022,winter
Toni Eggert,Germany,0,1,0,1,2022,winter
Sascha Benecken,Germany,0,1,0,1,2022,winter
Eric Frenzel,Germany,0,1,0,1,2022,winter
Fabien Claude,France,0,1,0,1,2022,winter
Julia Simon,France,0,1,0,1,2022,winter
Tess Ledeux,France,0,1,0,1,2022,winter
Simon Desthieux,France,0,1,0,1,2022,winter
Chloé Trespeuch,France,0,1,0,1,2022,winter
Johan Clarey,France,0,1,0,1,2022,winter
Joni Mäki,Finland,0,1,0,1,2022,winter
Li Wenlong,China,0,1,0,1,2022,winter
Jia Zongyang,China,0,1,0,1,2022,winter
Laurent Dubreuil,Canada,0,1,0,1,2022,winter
Cassie Sharpe,Canada,0,1,0,1,2022,winter
Marielle Thompson,Canada,0,1,0,1,2022,winter
Mikael Kingsbury,Canada,0,1,0,1,2022,winter
Anton Smolski,Belarus,0,1,0,1,2022,winter
Hanna Huskova,Belarus,0,1,0,1,2022,winter
Daniela Ulbing,Austria,0,1,0,1,2022,winter
Madeleine Egle,Austria,0,1,0,1,2022,winter
Mirjam Puchner,Austria,0,1,0,1,2022,winter
Jaclyn Narracott,Australia,0,1,0,1,2022,winter
Scott James,Australia,0,1,0,1,2022,winter
Anastasia Smirnova,Russian Olympic Committee,0,0,1,1,2022,winter
Said Karimulla Khalili,Russian Olympic Committee,0,0,1,1,2022,winter
Maxim Tsvetkov,Russian Olympic Committee,0,0,1,1,2022,winter
Sergey Ridzik,Russian Olympic Committee,0,0,1,1,2022,winter
Victor Wild,Russian Olympic Committee,0,0,1,1,2022,winter
Angelina Golikova,Russian Olympic Committee,0,0,1,1,2022,winter
Ilya Burov,Russian Olympic Committee,0,0,1,1,2022,winter
Semion Elistratov,Russian Olympic Committee,0,0,1,1,2022,winter
Tatiana Ivanova,Russian Olympic Committee,0,0,1,1,2022,winter
Kim Min-Seok,South Korea,0,0,1,1,2022,winter
Lee Seung-Hoon,South Korea,0,0,1,1,2022,winter
Megan Nick,United States,0,0,1,1,2022,winter
Casey Dawson,United States,0,0,1,1,2022,winter
Ethan Cepuran,United States,0,0,1,1,2022,winter
Sylvia Hoffman,United States,0,0,1,1,2022,winter
Alex Ferreira,United States,0,0,1,1,2022,winter
Emery Lehman,United States,0,0,1,1,2022,winter
Brittany Bowe,United States,0,0,1,1,2022,winter
Joey Mantia,United States,0,0,1,1,2022,winter
Jan Scherrer,Switzerland,0,0,1,1,2022,winter
Frida Karlsson,Sweden,0,0,1,1,2022,winter
Ebba Andersson,Sweden,0,0,1,1,2022,winter
Henrik Harlaut,Sweden,0,0,1,1,2022,winter
Jesper Tjäder,Sweden,0,0,1,1,2022,winter
Glorija Kotnik,Slovenia,0,0,1,1,2022,winter
Dawid Kubacki,Poland,0,0,1,1,2022,winter
Fabian Wilkens Solheim,Norway,0,0,1,1,2022,winter
Maria Therese Tviberg,Norway,0,0,1,1,2022,winter
Timon Haugan,Norway,0,0,1,1,2022,winter
Rasmus Windingstad,Norway,0,0,1,1,2022,winter
Mina Fürst Holtmann,Norway,0,0,1,1,2022,winter
Thea Louise Stjernesund,Norway,0,0,1,1,2022,winter
Simen Hegstad Krüger,Norway,0,0,1,1,2022,winter
Sebastian Foss-Solevaag,Norway,0,0,1,1,2022,winter
Håvard Lorentzen,Norway,0,0,1,1,2022,winter
Marijke Groenewoud,Netherlands,0,0,1,1,2022,winter
Kimberley Bos,Netherlands,0,0,1,1,2022,winter
Martins Bots,Latvia,0,0,1,1,2022,winter
Roberts Plume,Latvia,0,0,1,1,2022,winter
Kristers Aparjods,Latvia,0,0,1,1,2022,winter
